sound_def	kind	source_trigger_paths	owner_cluster	current_evidence	remaining_gap
ZombieTracking	one_shot	Source/ZombieStateHandler.cs:1069;Source/JobDriver_ContaminationMimic.cs:60;Source/JobDriver_ContaminationBreakdown.cs:48	core_zombie;contamination	startup_support_state resolves SoundDef grains; C5 contamination jobs exercise mimic/breakdown with clean logs; sound_events_state captured OneShot ZombieTracking from the defense-room zombie during zapShocker on ZL_Defense_Room_base on 2026-05-31	No known trigger gap for a tracking-state sound event; keep broader horde audio under S-Core-Horde-Loop if desired.
ZombieHit	one_shot	Defs/Zombie_Race.xml:126;Source/ZombieStateHandler.cs:315;Source/ZombieStateHandler.cs:579	core_zombie	startup_support_state resolves SoundDef grains; many damage contracts hit zombies with clean logs but do not isolate this trigger	Need direct sound-trigger assertion for melee hit/smash branches or fold into S-Core-Horde-Loop.
ZombieRage	one_shot	Source/ZombieStateHandler.cs:1129	core_zombie	startup_support_state resolves SoundDef grains; sound_events_state captured OneShot ZombieRage during rimconnect_rage_kill_contract from EMPTY on 2026-05-31	No known trigger gap for rage transition.
ZombieEating	one_shot	Source/ZombieStateHandler.cs:1057	core_zombie	startup_support_state resolves SoundDef grains; eating behavior has focused contracts; sound_events_state captured two OneShot ZombieEating events during zombie_eats_corpse_contract from EMPTY on 2026-05-31	No known trigger gap for corpse-eating audio.
ZombieDigOut	one_shot	Source/Zombie.cs:494	core_zombie;incidents	startup_support_state resolves SoundDef grains; sound_events_state captured OneShot ZombieDigOut after spawn_zombie appearDirectly=false plus 5 stepped ticks from EMPTY on 2026-05-31	No known trigger gap for dig-out spawn audio.
ZombiesRising	one_shot_on_camera	Source/ZombieIncidents.cs:258;Source/ZombieSpitter.cs:83	incidents;special_zombies	startup_support_state resolves SoundDef grains; S-Incident-Threat exercises alert waves and special spawn with clean logs	Need isolate on-camera trigger only if audio smoke requires per-sound confirmation.
ToxicSplash	one_shot	Source/Zombie.cs:473	special_zombies	startup_support_state resolves SoundDef grains; toxic-splasher runtime helpers exist; sound_events_state captured OneShot ToxicSplash during kill_toxic_splasher from EMPTY on 2026-05-31	No known trigger gap for toxic-splasher death audio.
TankyTink	one_shot	Source/Tools.cs:622;Source/Patches.cs:4555	special_zombies	startup_support_state resolves SoundDef grains; special-damage tanky armor branch reaches Tools.PlayTink with clean logs	No known source-level gap; keep under S-Special-Gauntlet for player-facing audio.
TarSmokePop	one_shot	Source/Patches.cs:96	special_zombies;rendering	startup_support_state resolves SoundDef grains; tar smoke visual/runtime paths are covered	Need confirm a playSound=true tar-smoke path, not just smoke creation.
Bzzt	one_shot	Source/Tools.cs:631;Source/Patches.cs:3504;Source/Patches.cs:3514	special_zombies	startup_support_state resolves SoundDef grains; active-electrifier ranged absorption reaches absorb branch with clean logs	No known source-level gap; keep under S-Special-Gauntlet for player-facing audio.
ZombieElectricHum	sustainer	Source/TickManager.cs:701	core_zombie	startup_support_state resolves SoundDef grains; root-play-hooks runtime proves UpdateElectricalHumming path for active electrifier with clean logs	No known source-level gap.
ElectricShock	one_shot	Source/Patches.cs:3465	special_zombies	startup_support_state resolves SoundDef grains	Need electrifier visual-stage sound trigger proof if not folded into visual lineup.
ZombieTankMovement	sustainer	Source/TickManager.cs:731	core_zombie	startup_support_state resolves SoundDef grains; root-play-hooks runtime proves UpdateTankMovement path for tanky zombie with clean logs	No known source-level gap.
ZombiesClosingIn	sustainer	Source/TickManager.cs:805	incidents;core_zombie	startup_support_state resolves SoundDef grains	Need night ambient runtime trigger with nonzero volume in S-Core-Horde-Loop or S-Incident-Threat.
Hacking	one_shot	Source/JobDriver_Sabotage.cs:196	special_zombies	startup_support_state resolves SoundDef grains; sabotage/albino helpers exist; sound_events_state captured OneShot Hacking during hack_flickable_with_albino from EMPTY on 2026-05-31	No known trigger gap for albino sabotage audio.
Scream	one_shot	Source/JobDriver_Sabotage.cs:294	special_zombies	startup_support_state resolves SoundDef grains; ScreamWithAlbino helper exists; sound_events_state captured OneShot Scream during scream_with_albino from EMPTY on 2026-05-31	No known trigger gap for albino scream audio.
LetterArrive_TurnedZombie	letter_arrive	Defs/Zombie_Letter.xml:9;Defs/Zombie_Letter.xml:18;Defs/Zombie_Letter.xml:27	incidents;infection	startup_support_state resolves SoundDef grains; letter defs reference this arrive sound	Need actual turned-zombie letter trigger proof only if letter audio is claimed beyond alert/letter behavior.
Smash	one_shot	Source/Tools.cs:640;Source/Patches.cs:979	core_zombie;hostility;infection	startup_support_state resolves SoundDef grains; smart-melee block and double-tap paths exercise adjacent behavior with clean logs	Need direct sound-trigger assertion for block/double-tap/smash if audio row is claimed.
Silence	silent_explosion	Defs/Zombie_Damages.xml:50	special_zombies	startup_support_state resolves SoundDef grains; toxic damage def uses it as a deliberate no-op explosion sound	No player-facing audio proof needed unless toxic explosion def behavior is audited in detail.
ShockingRoom	one_shot	Source/SubEffecter_ZombieShocker.cs:133	buildings_items	startup_support_state resolves SoundDef grains; S-Defense-Room shocker zap/paralyze/mote path ran clean; sound_events_state captured OneShot ShockingRoom during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known trigger gap for shocker room-start audio.
ShockingZombie	one_shot	Source/SubEffecter_ZombieShocker.cs:52	buildings_items	startup_support_state resolves SoundDef grains; S-Defense-Room shocker zap/paralyze/mote path ran clean; sound_events_state captured OneShot ShockingZombie during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known trigger gap for zombie zap audio.
WallPushing	one_shot	Source/ZombieStateHandler.cs:161	buildings_items;pathing	startup_support_state resolves SoundDef grains; wall-push letter/path behavior covered with clean logs	Need explicit wall-push sound trigger proof if audio row is claimed.
ChainsawIdle	sustainer	Source/Chainsaw.cs:332	buildings_items	startup_support_state resolves SoundDef grains; chainsaw_equip_toggle starts running chainsaw with clean logs; sound_events_state captured SustainerEnd ChainsawIdle during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known source-level gap; retain as S-Defense-Room audio evidence.
ChainsawStart	one_shot	Source/Chainsaw.cs:329	buildings_items	startup_support_state resolves SoundDef grains; chainsaw_equip_toggle starts running chainsaw with clean logs	No known source-level gap; retain as S-Defense-Room audio evidence.
ChainsawWorkStart	sustain_start	Defs/Zombie_Sounds.xml:648	buildings_items	startup_support_state resolves SoundDef grains; ChainsawWork references it as sustainStartSound	No separate runtime proof needed if ChainsawWork sustainer is covered; ResolveReferences catches missing link.
ChainsawWorkEnd	sustain_stop	Defs/Zombie_Sounds.xml:649	buildings_items	startup_support_state resolves SoundDef grains; ChainsawWork references it as sustainStopSound	No separate runtime proof needed if ChainsawWork sustainer is covered; ResolveReferences catches missing link.
ChainsawWork	sustainer	Source/Chainsaw.cs:146	buildings_items	startup_support_state resolves SoundDef grains; chainsaw_slaughter_zombie exercises running/swinging chainsaw with clean logs	No known source-level gap; retain as S-Defense-Room audio evidence.
Crush	one_shot	Source/Chainsaw.cs:391	buildings_items	startup_support_state resolves SoundDef grains; chainsaw_slaughter_zombie kills adjacent zombie with clean logs	No known source-level gap; retain as S-Defense-Room audio evidence.
ThumperOperating	sustainer	Source/ZombieThumper.cs:91	buildings_items	startup_support_state resolves SoundDef grains; S-Defense-Room has active thumper setup/save-load with clean logs	Need explicit sustainer state only if player-facing audio requires per-sound assertion.
