surface_type	name	location	reason_unassigned	recommended_owner	priority	notes
source_inventory	possible undiscovered Source/*.cs files	Source/	GitHub tree could not be cloned in sandbox and Source directory web view intermittently failed; inventory is union of compare/search/docs rather than direct local find.	A.HARMONY.INVENTORY	high	Run scripts/coverage-inventory.sh or git ls-files locally and diff against this ledger.
patch_inventory	all 256 static patch rows expanded one-by-one	Source/Patches.cs;Source/Patches_Hostility.cs;Source/ContaminationPatches*.cs	Current docs report 256 static patch rows and 40 dynamic rows, but this ledger expands key rows and cluster ownership rather than all static rows individually.	A.HARMONY.INVENTORY	high	Use coverage-inventory.sh --patch-groups to generate patch-row additions.
optional_mod_runtime	Combat Extended active compatibility	Source/CETools.cs	No active CE runtime evidence in current core-only docs inspected.	INT.CombatExtended	medium	Run S-Optional-Mod-Compat with CE enabled.
optional_mod_runtime	AlienRace active compatibility	Source/AlienTools.cs	No active AlienRace runtime evidence in current core-only docs inspected.	INT.AlienRace	medium	Run S-Optional-Mod-Compat with AlienRace enabled.
optional_mod_runtime	Vehicle Framework active compatibility	Source/VehicleTools.cs	VehicleTools paths appear in source but active-mod evidence is absent.	INT.Vehicles	medium	Run movement/contact tests with Vehicles active.
optional_mod_runtime	Dubs active compatibility	Source/DubsTools.cs	DubsTools detection/patches require active mod evidence.	INT.Dubs	medium	Run S-Optional-Mod-Compat with Dubs active.
optional_mod_runtime	SoS2 active compatibility	Source/SoSTools.cs	SoSTools gates map update paths; no active SoS2 scenario evidence found.	INT.SoS2	medium	Run SoS map/update smoke with SoS2 active.
optional_mod_runtime	RimConnect active compatibility	Source/RimConnectSupport.cs	About.xml loadBefore exists but active RimConnect runtime not proven.	INT.RimConnect	medium	Run RimConnect bridge/integration smoke.
dlc_dependency	Biotech mech repair contamination transfer	JobDriver_RepairMech_MakeNewToils_Patch	Current docs record BiotechInstalled=false and branch skipped.	PATCH.JobDriver_RepairMech_MakeNewToils_Patch	medium	Rerun with Biotech active.
dlc_dependency	child zombie killed-child thought path	IndividualThoughtToAdd_Constructor_Patch;Thought_Tale_OpinionOffset_Patch	Current docs record BodyTypeDefOf.Child / killed-child thought surface unavailable.	PATCH.IndividualThoughtToAdd_Constructor_Patch	medium	Rerun with child surface available.
visual_negative	clean negative UI comparisons	C6-ui-quest;F.RENDERING.VISUALS	C6 visual positive is covered; explicit clean selection/no-overlay negatives still need a final UI polish pass.	G.CONTAMINATION.C6_UI_QUEST	low	Add screenshot/layout comparisons for clean things/pawns/corpses.
performance	dense emergent horde loop after save-load	S-Core-Horde-Loop	Narrow tick budget contracts exist, but one dense emergent scenario remains unproven.	C.CORE.ZOMBIE_LOOP	high	Create save with mixed zombie states and run dense performance smoke.
visual_audio	defense-room audio/visual effects	S-Defense-Room	Behavior covered; visual/audio evidence not yet complete.	J.BUILDINGS.ITEMS	low	Capture thumper/shocker/chainsaw visual/audio state after real actions.
